name	allocated
Brennan Anne	True
Brennan Cecily	True
Brennan Kieran	True
Brennan Mary	True
Brennan Patricia	True
Brennan Paul	True
Brennan Spider	True
Brenner Dorothee Christina	True
Brenner Michael	True
Brenner Pamela Lee	True
Brenner Thomas	True
Brenner Werner	True
Brenner Wolfgang	True
Brenner Karacsonyi Dora	True
Brenner-Remberg Elisabeth	True
Brent Michel	True
Brentrup Martin	True
Breny Rene	True
Breschand Maurice	True
Brescia Teodoro	True
Bresciani Vittorio	True
Bressan Maria Luisa	True
Bresseleers Tim	True
Bressem Uwe	True
Bressnik Uwe	True
Bresso Baixauli Pilar	True
Bresson Andrea Maria	True
Bressoud Olivier	True
Bresson Mylene	True
Bressow Lance	True
Bret Francois	True
Bret Monique	True
Bret Paul	True
Bretillot Marc	True
Bretislav Benda	True
Breton Adeline	True
Breton Claude	True
Breton Guy	True
Breton Vincent	True
Breton-Phan Thuan	True
Bretones Thierry	True
Bretschneider Jurgen	True
Brett Tom	True
Bretz Daniel	True
Bretz Sabine	True
Breu Sigrid Angelika	True
Breuer Andrea C.	True
Breuder Rita	True
Breuer Erika	True
Breuer Claudia	True
Breuer Franz-Josef	True
Breuer Jacques	True
Breuer Heidrun	True
Breuer Leo	True
Breuer Thomas Christian	True
Breuer-Weber Berti	True
Breuil Michel	True
Breuking Frank	True
Breulet Marika	True
Breulich-Honert Gabriela	True
Breum Marten	True
Breum Anders Jep Lyngsdal	True
Breusch Cynthia	True
Breuss Rose	True
Brevet Nathalie	True
Breustedt Monika	True
Brewer Zilzie Moon	True
Brewster Michael	True
Brey Manfred	True
Breydel Production Scrl	True
Breyen Orsted Louise	True
Breyer Alain	True
Breyer Heinz-Jurgen	True
Breyer Michael	True
Breynaert Andre	True
Breyne Jan	True
Breyssem Edgard	True
Breznaÿ Gabor	True
Briade Claude	True
Briade Philippe	True
Briand Bettina Nielli	True
Briand Maryline	True
Briand Joran	True
Briand Mathieu	True
Brianti Stefano	True
Briant Irene	True
Briat Louis	True
Briat Roland	True
Briata Georges	True
Briazquine Vladimir	True
Brice Copland Meredith Anne	True
Brichau Frederic	True
Brichete-Paredes Miguel-Angel	True
Brichta Laura	True
Brickman Tom	True
Bridge Kay	True
Bridge Tina	True
Bridgman Dolores	True
Bridoux Claude	True
Bridoux Claude Sprl	True
Briede Ruta	True
Briedis Uldis	True
Briedis Adrians	True
Brieditis Katarina	True
Brieditis Monalisa	True
Briemle Helga	True
Briere Frank	True
Briere Herve	True
Briere Bordier Quentin	True
Brieske Claudia	True
Briet Thierry	True
Briffa Luke Gerard	True
Brigas Amadeu Fernandes	True
Brigaud Frederic	True
Briggs Dana	True
Bright Colin	True
Briggs Susan Helga	True
Brihay Arnauld	True
Brikcius Eugen	True
Brill Thomas	True
Brillant Charlotte	True
Brillert Markus	True
Brillowska Mariola	True
Brimberry Robert	True
Brinch Anni Katrine	True
Brinch Jes	True
Brinet Hubert	True
Brincker Ulrike	True
Brinckman Tom	True
Bring Anna	True
Bring Huczkowski Haakan	True
Bringevik Jan	True
Bringslimark Leif	True
Bringuier Jacques	True
Brinker Horst	True
Brinkin Charlie	True
Brinkhoff Ulrich	True
Brinkmann Birgit	True
Brinkman Floris	True
Brinkmann Caroline	True
Brinkmann Jurgen	True
Brinkmann Katja	True
Brinkmann Thorsten	True
Brinkmann Ursula	True
Brinkmann Vinzenz	True
Brinkmann-Grempel Birgit	True
Brinkmann Parareda Enrique	True
Brinon Merja	True
Brintrup Michael	True
Brion Paul	True
Briones Malm Lucia	True
Briouel Mohammed	True
Bris Jean-Pierre	True
Bris Jean-Jacques	True
Brisbois Edwige	True
Brischnik Ewald	True
Brisbois Patrice	True
Brisco Joy	True
Brisco Rayleen	True
Briscoe Christabella	True
Briscoe Kate	True
Briscoe Regina	True
Briscoe Sonia	True
Brisighelli Paolo	True
Brisme Delphine	True
Brison Catherine	True
Brison Serge	True
Brisse Joel	True
Briss Samy	True
Brissoni Jean	True
Brisson Pierre	True
Brites Jose Sebastiao Gomes Da Costa	True
Brito Jose Joao Machado Carneiro De	True
Brito Maria Filomena Lourenco Mendes De	True
Brito Justino Vital Mendes De Almeida	True
Britsch Hansjurgen	True
Brittain Kim Marie	True
Britsia Peter	True
Britton Georgia Louise	True
Britten-Austin Rose	True
Britz Bert	True
Britton Paul	True
Brix Thomas	True
Britz Susanne	True
Brix Annette	True
Brixel Richard	True
Brixa Anna	True
Brixen Tina	True
Brizzante Francesco	True
Broadbent Patricia	True
Brkic Mikael Damstuen	True
Brobeck Philippe	True
Broben Manou	True
Broberg Leif	True
Brocal Llobregat Josep María	True
Broby-Johansen Rudolf	True
Broca Alain	True
Brocard Charlotte	True
Brocart Jean-Louis	True
Brochet Francois	True
Broch De Uscategut Stephanie	True
Brochner Tony	True
Brochner Bergholdt Lars	True
Brockamp Melanie	True
Brock David Leslie	True
Brockdorff Victor	True
Brockel Alexander	True
Brocker Clemens	True
Brockers Sonja	True
Brockhoff Gunther	True
Brockman Stina	True
Brockman Birgit	True
Brockschnieder Ernst R.	True
Brockmann Ulrike	True
Brockmann Jenny	True
Brodard Florence	True
Brodbeck Dietlind	True
Broderick Sheelagh	True
Brodersen Grete	True
Brodersen Camilla	True
Brodhage Susanne	True
Brodie Phaedra	True
Brodin Ewa	True
Brodin Karin	True
Brodmann Gerrit	True
Brody Henrich	True
Broe Lene	True
Brodyk Andre	True
Broe Christensen Terkel	True
Broeckmann Ruth	True
Broeder Winifred	True
Broeders Ken	True
Broeders Serge	True
Broegaard Mernild Palle	True
Broekaert Xavier	True
Broekaert Elisabeth	True
Broekhuijsen Joshua	True
Broekman Barbara	True
Broelman Peter	True
Broer Almut E.	True
Broere Nadeschda	True
Broeren Alexandra	True
Broermann Michael	True
Broers Bert	True
Broers Jean-Pascal	True
Brofelth Svalsten Maria	True
Brogard Per	True
Brog Hans	True
Brogan Lee Ann	True
Brogger Lilian	True
Brogger Stig	True
Brogioni Leonardo	True
Brogren Anita	True
Brogren Rutz Anna	True
Brogren Jacqueline	True
Brohan James	True
Broigniez Philippe	True
Brohult Grethel	True
Brokke Nienke	True
Brolling Niels	True
Broman Paer	True
Broman Ruth	True
Broman Sigvard	True
Bromann Birger	True
Bromark Mita	True
Brombacher Martin	True
Bromberg Anke	True
Bromberg Casia	True
Bromberger Nathalie	True
Bromberg Marita	True
Bromley Dallas	True
Bromma Antje	True
Bromme Renate	True
Bromme Till	True
Brommer-Thomsen Heidemarie	True
Broms Birgit	True
Broms Arvid	True
Bromse Kathrin	True
Bromstrup John	True
Bronchain Bernard	True
Bromults Alfejs	True
Brondbjerg Irma	True
Brondello Michele	True
Brondsted Soren	True
Brondum Birger	True
Brondum Iben	True
Brondum Holm Turi	True
